Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
166,Economics & Political Science,Bachelors,54200,99400,50
166,Interactive Media,Bachelors,50200,99400,32
168,Computer Science & Information Technology,Bachelors,63100,99100,49
169,Agricultural Engineering (AE),Bachelors,60400,99000,61
169,Consumer Economics,Bachelors,51200,99000,38
171,International Business,Bachelors,52100,98900,40
172,Chinese Language,Bachelors,51200,98700,47
172,Financial Planning,Bachelors,50400,98700,57
174,Corporate Finance,Bachelors,61000,98500,43
175,Architectural Engineering,Bachelors,62400,98400,58
176,Building Construction Management,Bachelors,58600,98000,59
177,Engineering Technology (ET),Bachelors,55300,97900,50
177,Network Engineering,Bachelors,57900,97900,46
179,Computer Information Systems (CIS),Bachelors,56900,97800,45
179,International Marketing,Bachelors,56200,97800,18
179,Psychobiology,Bachelors,45400,97800,64
182,Electrical Engineering Technology (EET),Bachelors,63100,97700,48
182,Computer Information Systems,Bachelors,55700,97700,43
182,Real Estate,Bachelors,56400,97700,38
182,Molecular Biology,Bachelors,50500,97700,70
186,Operations Management (OM),Bachelors,58000,97300,43
187,Cybersecurity,Bachelors,63000,97200,55
187,Manufacturing,Bachelors,54100,97200,56
189,Construction Trades,Bachelors,56300,97100,57
190,International Relations,Bachelors,49900,96800,49
190,Politics,Bachelors,50600,96800,53
192,Economics & Management,Bachelors,52700,96600,-
193,Industrial Hygiene,Bachelors,55800,96200,55
194,Software Development,Bachelors,61000,96000,44
194,Telecommunications Management,Bachelors,49800,96000,46
196,Supply Chain Management,Bachelors,59000,95900,41
197,Mechanical Engineering Technology (MET),Bachelors,61200,95800,48
198,Accounting & Auditing,Bachelors,55400,95700,42
198,Network Security,Bachelors,57500,95700,47
200,Entrepreneurship & Leadership,Bachelors,52300,95600,46
200,Geological Engineering,Bachelors,59100,95600,57
202,Product Design,Bachelors,58600,95500,40
203,Electronics,Bachelors,57000,95400,61
203,Food Marketing,Bachelors,54500,95400,25
203,Safety Management,Bachelors,57400,95400,70
206,German Studies,Bachelors,47400,95300,43
206,Industrial & Labor Relations,Bachelors,63800,95300,51
208,Agricultural Economics & Business,Bachelors,51400,95200,55
208,Aviation Management,Bachelors,48400,95200,53
210,Biochemistry (BCH),Bachelors,47500,95100,60
211,Computer Science (CS) & Business,Bachelors,60800,95000,40
211,Construction Science & Management,Bachelors,61500,95000,68
213,Accounting & Finance,Bachelors,55800,94900,45
213,Comparative Literature,Bachelors,44600,94900,45
213,International & Comparative Politics,Bachelors,46100,94900,49
216,East Asian Studies,Bachelors,46900,94800,43
217,Logistics & Supply Chain Management,Bachelors,56200,94400,46
217,Russian & Eastern European Studies,Bachelors,50800,94400,-
219,Occupational Health and Safety,Bachelors,57100,94300,68
220,Aviation,Bachelors,50000,94000,42
220,Manufacturing Technology,Bachelors,57100,94000,45
222,Physical Therapy,Bachelors,53500,93900,90
222,Labor Relations,Bachelors,48900,93900,39
224,Government & International Politics (GVIP),Bachelors,49800,93800,46
224,Information Technology (IT),Bachelors,56100,93800,45
226,City & Regional Planning,Bachelors,49700,93700,70
226,Information Science (IS),Bachelors,62600,93700,38
228,Business & Marketing,Bachelors,47800,93600,44
229,Agribusiness,Bachelors,48000,93400,53
229,Management Studies,Bachelors,43500,93400,73
231,Industrial Design (ID),Bachelors,52100,93100,41
232,Chemistry,Bachelors,49200,93000,55
232,Information Technology (IT) & Systems,Bachelors,58600,93000,47
232,Environmental Health & Safety,Bachelors,54500,93000,67
235,Electronics Engineering Technology (EET),Bachelors,61600,92900,53
235,Organizational Behavior,Bachelors,54000,92900,49
237,Analytical Chemistry,Bachelors,54800,92800,69
237,Computer Engineering Technology (CET),Bachelors,60100,92800,48
237,Food Science & Technology,Bachelors,50200,92800,49
240,Project Management,Bachelors,54100,92700,54
241,Technical & Scientific Communication,Bachelors,48900,92400,40
242,Finance & Banking,Bachelors,52600,92300,51
243,Hotel Administration,Bachelors,61500,92100,43
243,Mechanical Design,Bachelors,57700,92100,49
245,Biomedical Sciences,Bachelors,41200,92000,70
246,International Trade & Business,Bachelors,52300,91900,28
247,Commerce Economics,Bachelors,51200,91800,31
248,Latin American Studies,Bachelors,44300,91700,63
248,Structural Design & Construction Engineering Technology,Bachelors,66500,91700,46
248,Civil Engineering Technology (CET),Bachelors,55600,91700,62
251,Government & Politics,Bachelors,50000,91500,49
252,Aviation Flight Science (AFL),Bachelors,49900,91400,45
252,Business & Finance,Bachelors,52800,91400,49
252,Marketing,Bachelors,49200,91400,39
255,Applied Statistics,Bachelors,62000,91300,46
255,Biopsychology,Bachelors,50200,91300,73
255,Industrial Technology (IT),Bachelors,57800,91300,51
255,Manufacturing Engineering Technology,Bachelors,61500,91300,52
259,Music Production & Engineering,Bachelors,42100,91100,50
259,Networks & Telecommunications,Bachelors,52900,91100,57
261,Chemistry & Environmental Science,Bachelors,46000,91000,67
261,Microbiology & Immunology,Bachelors,51500,91000,68
263,Accounts,Bachelors,57000,90900,42
263,Risk Management,Bachelors,59600,90900,33
265,Environmental Science & Policy,Bachelors,47300,90700,60
266,Dairy Science,Bachelors,49500,90600,72
266,Sales & Marketing,Bachelors,48500,90600,44
268,Welding Engineering Technology,Bachelors,72000,90400,45
269,Industrial Psychology,Bachelors,47000,90200,49
269,Marketing & Management,Bachelors,47200,90200,44
269,Transportation & Logistics Management,Bachelors,52700,90200,47
272,Marketing Management,Bachelors,48300,90100,43
272,Watershed Hydrology & Management,Bachelors,45500,90100,49
274,Electromechanical Engineering,Bachelors,67100,90000,54
274,Transportation,Bachelors,59100,90000,50
276,Advertising Design,Bachelors,49300,89700,29
276,Management & Finance,Bachelors,52500,89700,53
276,Risk Management & Insurance,Bachelors,56300,89700,44
279,Geology,Bachelors,48200,89600,55
280,Information Assurance,Bachelors,55600,89500,58
280,Political Science,Bachelors,47900,89500,48
282,Philosophy,Bachelors,48700,89400,41
282,Radiation Therapy,Bachelors,65600,89400,91
284,Cell Biology,Bachelors,48200,89300,61
284,French Literature,Bachelors,44200,89300,50
284,Web Design & Development,Bachelors,50600,89300,46
284,Meteorology,Bachelors,44500,89300,60
288,Biological Sciences,Bachelors,46200,89200,65
288,Occupational Therapy (OT),Bachelors,55100,89200,90
290,Environmental Policy Analysis & Planning,Bachelors,47200,89100,62
291,Entrepreneurial Studies,Bachelors,46700,88900,35
291,Financial Accounting,Bachelors,53400,88900,51
291,Political Science/Public Law,Bachelors,43900,88900,61
291,Quality Management,Bachelors,53400,88900,64
295,Aeronautics,Bachelors,59100,88800,65
295,Applied Computer Science,Bachelors,62900,88800,48
297,Accounting,Bachelors,51700,88700,42
297,Broadcasting Technology,Bachelors,40000,88700,-
297,Food Science,Bachelors,49900,88700,46
297,Marketing & Communications,Bachelors,46600,88700,43
301,Urban Planning,Bachelors,48100,88500,54
301,Manufacturing Management,Bachelors,60400,88500,49
303,Insurance,Bachelors,53000,88400,42
304,Business Data Analysis,Bachelors,60400,88300,38
304,Environmental Design,Bachelors,45400,88300,55
306,Advertising,Bachelors,44800,88200,33
306,Cinema Studies,Bachelors,45400,88200,32
306,Financial Management,Bachelors,51000,88200,51
309,Advertising & Marketing Communications,Bachelors,46000,88100,36
309,Operations & Supply Chain Management,Bachelors,57800,88100,44
311,Computer Information Management,Bachelors,46800,88000,62
312,Global & International Studies,Bachelors,45900,87800,49
312,Computing & Information Systems (CIS),Bachelors,50800,87800,42
312,Architecture,Bachelors,48300,87800,55
315,Environmental & Natural Resource Economics,Bachelors,49100,87600,60
316,Labor Studies,Bachelors,44100,87500,49
317,Aviation Technology,Bachelors,52600,87400,52
317,Social Ecology,Bachelors,46700,87400,60
319,Classics,Bachelors,45000,87300,39
319,Marketing Communication,Bachelors,43600,87300,40
321,Geographic Information Systems (GIS) & Spatial Analysis,Bachelors,51700,87200,56
321,Organizational Psychology,Bachelors,48300,87200,45
323,European History,Bachelors,49700,87100,50
324,Urban & Regional Planning,Bachelors,47500,87000,59
325,Real Estate Development,Bachelors,54400,86800,-
326,Applied Technology,Bachelors,52900,86700,60
326,Entomology,Bachelors,44000,86700,-
328,Architectural Engineering Technology,Bachelors,49900,86600,59
328,Public Affairs,Bachelors,49700,86600,53
330,Entrepreneurship,Bachelors,51400,86500,45
331,Business Management & Marketing,Bachelors,45800,86400,47
332,Digital Arts,Bachelors,43200,86300,32
333,Industrial Safety,Bachelors,53200,86200,78
333,Logistics,Bachelors,54800,86200,37
335,Hotel Management,Bachelors,44500,86100,44
336,Cell & Molecular Biology,Bachelors,48900,86000,66
336,Global Business Management,Bachelors,53200,86000,51
338,Technical Management,Bachelors,57800,85900,65
338,Computer & Network Administration,Bachelors,54100,85900,47
340,Police Science,Bachelors,53400,85800,-
340,Pre-law,Bachelors,44700,85800,46
342,Business Communication,Bachelors,47600,85600,47
342,Microbiology,Bachelors,46200,85600,68
342,Professional Aeronautics,Bachelors,57700,85600,68
345,Advertising & Promotion,Bachelors,42400,85500,45
346,Network Systems Administration,Bachelors,53500,85400,50
347,Construction Technology,Bachelors,55500,85300,47
348,Electronic & Computer Technology,Bachelors,61300,85000,-
348,Marketing & Advertising,Bachelors,47200,85000,53
350,Electronic Systems Technology (EST),Bachelors,61800,84900,-
351,International Studies,Bachelors,47500,84800,51
352,Construction Engineering Technology,Bachelors,53000,84700,57
353,Applied Science,Bachelors,44100,84600,56
354,Accounting Information Systems,Bachelors,60000,84500,51
354,Environmental Health,Bachelors,48100,84500,72
354,Technology,Bachelors,53400,84500,64
357,Biosystems Engineering,Bachelors,62000,84200,75
358,Fashion Design,Bachelors,44800,84100,26
359,Agribusiness Management,Bachelors,47600,84000,46
359,German Language,Bachelors,48200,84000,41
361,Professional Pilot Education,Bachelors,59800,83900,-
361,Textile Technology,Bachelors,51500,83900,31
363,Manufacturing Systems,Bachelors,71700,83600,-
364,Diagnostic Medical Ultrasound,Bachelors,60800,83500,70
364,Marketing & Mass Communications,Bachelors,41800,83500,40
366,General Business,Bachelors,47600,83400,52
366,Computer Graphics Technology (CGT),Bachelors,46800,83400,40
368,Agricultural Systems Technology,Bachelors,54000,83300,58
368,Health Care,Bachelors,41700,83300,71
368,Hospital Administration,Bachelors,49600,83300,53
368,Personal Financial Planning,Bachelors,51200,83300,59
372,Business Technology Management,Bachelors,52900,83200,48
373,Health Policy & Administration,Bachelors,48300,83100,65
374,Math & Science,Bachelors,54400,82900,62
375,Architectural Design,Bachelors,46000,82800,59
375,Environmental Science,Bachelors,46500,82800,60
377,Advertising & Marketing,Bachelors,46300,82700,38
377,Animation,Bachelors,43100,82700,36
379,General Science,Bachelors,46900,82600,62
380,Biology & Chemistry,Bachelors,46700,82500,66
381,American Studies,Bachelors,49000,82400,50
381,Product Design Engineering,Bachelors,61500,82400,39
383,Aviation Maintenance Technology,Bachelors,49800,82300,58
383,Film Studies,Bachelors,42500,82300,40
383,Magazine Journalism,Bachelors,44500,82300,26
386,Web & Digital Media Development,Bachelors,48400,82200,34
387,Digital Media Design,Bachelors,45200,82000,36
387,English Literature,Bachelors,45400,82000,45
387,History & Politics,Bachelors,47200,82000,49
387,Human Biology,Bachelors,48400,82000,68
391,Business Management & Human Resources Management (HRM),Bachelors,44700,81900,58
391,Architectural Technology,Bachelors,44700,81900,56
391,Design,Bachelors,49400,81900,41
391,Philosophy & Religion,Bachelors,41800,81900,55
391,Physiology,Bachelors,46900,81900,62
396,Business Administration,Bachelors,49700,81700,50
396,French Studies,Bachelors,49500,81700,53
396,Land Surveying,Bachelors,48700,81700,56
399,Management,Bachelors,49000,81600,48
400,Geographic Information Systems (GIS),Bachelors,47100,81500,53
400,Interactive Media Design,Bachelors,51800,81500,40
402,Architectural Studies,Bachelors,43100,81400,42
403,Business Administration & Accounting,Bachelors,50300,81300,53
403,Industrial Arts,Bachelors,46500,81300,65
405,Textile Design,Bachelors,47400,81200,40
406,Textile & Apparel Studies,Bachelors,43800,81100,28
407,Accounting & Management,Bachelors,49700,81000,53
408,Nursing Science,Bachelors,63700,80900,84
409,Business Management,Bachelors,48800,80800,50
409,Linguistics,Bachelors,49300,80800,45
411,Agronomy,Bachelors,49100,80700,64
411,Corporate Communications,Bachelors,45300,80700,41
411,Neuroscience,Bachelors,47800,80700,59
414,Communication Studies & Journalism,Bachelors,42500,80600,49
415,Sociology & Organizational Studies,Bachelors,48200,80500,54
416,Nursing,Bachelors,61700,80400,84
417,Toxicology,Bachelors,43800,80300,-
417,History,Bachelors,45300,80300,46
417,Agricultural Science,Bachelors,46900,80300,57
420,Biology,Bachelors,44500,80200,65
420,Crop Science,Bachelors,45200,80200,67
420,French Language,Bachelors,46600,80200,48
423,Environmental Studies,Bachelors,45900,80100,59
423,Management (MGT),Bachelors,44800,80100,57
425,Communication,Bachelors,45300,79900,45
426,General & Strategic Management,Bachelors,48900,79800,53
426,Merchandising Management,Bachelors,44200,79800,35
428,Dental Hygiene,Bachelors,70400,79600,79
428,Hydrology,Bachelors,45300,79600,-
430,Global Business,Bachelors,53200,79500,37
430,Retail & Consumer Science,Bachelors,48500,79500,34
430,Literature,Bachelors,44400,79500,44
433,Emergency Management,Bachelors,49600,79400,78
433,Interpersonal & Organizational Communication,Bachelors,40300,79400,56
433,Nuclear Medicine,Bachelors,57800,79400,84
436,History & Political Science,Bachelors,48400,79300,51
437,Retail Merchandising,Bachelors,48000,79200,33
438,Agriculture,Bachelors,45300,79100,61
438,Environmental Management,Bachelors,47300,79100,61
438,Professional & Technical Writing,Bachelors,46000,79100,46
441,International Development Studies,Bachelors,45500,79000,64
441,Workforce Education & Development,Bachelors,57100,79000,74
441,Journalism & Mass Communication,Bachelors,43700,79000,45
444,Pre-Medicine,Bachelors,48400,78900,65
445,Bachelor in Science Nursing,Bachelors,61000,78800,81
445,Network Technology,Bachelors,54900,78800,57
447,Theatre & Drama Studies,Bachelors,41500,78600,49
448,Law,Bachelors,51900,78500,51
449,Law Enforcement,Bachelors,43800,78400,57
449,Printing Technology,Bachelors,43800,78400,-
449,Public Relations & Communication,Bachelors,43600,78400,46
452,Foreign Languages,Bachelors,47800,78300,57
452,Interior Architecture,Bachelors,45100,78300,47
452,Marine Science,Bachelors,44000,78300,58
452,Public Management,Bachelors,47800,78300,60
452,Web Development,Bachelors,54100,78300,53
457,Journalism,Bachelors,43500,78200,45
457,Landscape Architecture,Bachelors,49000,78200,67
457,Environmental Geography,Bachelors,47100,78200,52
460,Bachelor of Science in Nursing,Bachelors,60700,78100,83
461,Digital Media,Bachelors,44500,78000,39
461,Welding Technology,Bachelors,46100,78000,-
463,Nutrition Science,Bachelors,45900,77800,67
464,Accounting & Business,Bachelors,49400,77600,49
464,Diagnostic Medical Sonography,Bachelors,62200,77600,85
466,American History (United States),Bachelors,47800,77500,55
466,Strategic Communication,Bachelors,44600,77500,42
468,Public Relations (PR),Bachelors,43000,77400,43
469,Natural Sciences,Bachelors,41700,77300,51
470,International Affairs,Bachelors,49100,77200,53
470,Drama,Bachelors,43900,77200,46
470,Network Administration,Bachelors,46900,77200,55
473,Media Studies,Bachelors,48300,77100,36
474,Organizational Development,Bachelors,51600,77000,52
474,Writing,Bachelors,41800,77000,43
476,Integrated Marketing Communications,Bachelors,44600,76900,34
477,Crisis & Emergency Management,Bachelors,46600,76800,77
477,Organizational Communication,Bachelors,44000,76800,49
477,Retailing,Bachelors,48900,76800,27
477,Speech Communication,Bachelors,43900,76800,55
481,Allied Health,Bachelors,41800,76700,79
481,Environmental Biology,Bachelors,43000,76700,66
481,Nuclear Medicine Technology,Bachelors,58900,76700,81
484,Apparel & Textile Manufacture,Bachelors,45700,76600,36
485,Technology Management,Bachelors,53900,76500,45
486,Film Production,Bachelors,42700,76400,32
486,Security Management,Bachelors,44800,76400,-
488,Acting,Bachelors,42200,76200,48
488,Broadcast & Cinematic Arts,Bachelors,41900,76200,41
488,Business Management & Administration,Bachelors,48600,76200,53
488,Marine Biology,Bachelors,40800,76200,61
488,Professional Studies,Bachelors,42100,76200,64
488,Romance Languages,Bachelors,50300,76200,54
494,Computer Animation,Bachelors,44500,76100,31
495,Cytotechnology,Bachelors,58100,76000,90
495,Broadcast Journalism,Bachelors,41100,76000,49
495,Geography,Bachelors,46900,76000,52
498,Journalism & Electronic Media,Bachelors,42100,75900,50
499,Automotive Technology,Bachelors,45800,75800,46
499,Interpersonal Communications,Bachelors,43100,75800,48
501,Law & Society,Bachelors,44400,75700,50
502,Agricultural Business,Bachelors,50300,75600,50
502,Ancient History,Bachelors,43900,75600,-
504,Computer Aided Design (CAD),Bachelors,46500,75500,-
504,Computer Art,Bachelors,41200,75500,30
506,Administration,Bachelors,43100,75400,56
506,Forestry,Bachelors,44700,75400,66
508,Urban Studies,Bachelors,48600,75300,56
509,Business Law,Bachelors,51100,75100,44
510,Radio/Television & Film Production,Bachelors,42800,75000,39
511,Digital Design,Bachelors,48200,74800,38
511,Forensic Science,Bachelors,43800,74800,62
511,Geosciences,Bachelors,46600,74800,63
511,Logistics Management,Bachelors,52800,74800,47
515,Ecology,Bachelors,43500,74700,53
515,English & History,Bachelors,43600,74700,48
515,English Language & Literature,Bachelors,43900,74700,44
518,American Sign Language Interpreting,Bachelors,42500,74600,85
518,Homeland Security,Bachelors,46800,74600,71
518,Zoology,Bachelors,40300,74600,67
521,English Language,Bachelors,42100,74500,47
522,Human Resources Management (HRM),Bachelors,45300,74400,55
523,Technical Writing,Bachelors,52000,74300,45
523,Automotive Technology & Service Management,Bachelors,45400,74300,36
525,Business Technology,Bachelors,49800,74100,45
525,Mass Communication,Bachelors,42700,74100,44
527,Health Sciences,Bachelors,42400,74000,70
527,Organizational Leadership,Bachelors,47400,74000,56
529,Musicology,Bachelors,38100,73900,-
530,Spanish Language,Bachelors,44900,73600,53
531,Historic Preservation,Bachelors,41300,73500,52
531,Music Technology,Bachelors,42900,73500,38
531,Organizational Leadership & Supervision,Bachelors,46400,73500,50
534,Human Nutrition,Bachelors,45500,73400,84
534,Spanish Language Teacher Education,Bachelors,43900,73400,-
536,Botany,Bachelors,40300,73300,72
537,Apparel Merchandising,Bachelors,45400,73200,35
538,Environmental Health Science,Bachelors,51400,73100,64
538,Media & Technology,Bachelors,41400,73100,48
538,Public Administration,Bachelors,44200,73100,58
541,Liberal Arts,Bachelors,42500,73000,53
541,Merchandising,Bachelors,50500,73000,30
543,Environmental Resource Management,Bachelors,45700,72900,62
544,Computer Aided Drafting & Design (CADD),Bachelors,46800,72800,54
544,Forestry Management,Bachelors,44300,72800,73
546,German Language & Literature,Bachelors,46100,72700,48
546,Electronics & Computer Technology,Bachelors,51700,72700,-
548,Administrative Management,Bachelors,50100,72600,50
548,Cardiopulmonary Science,Bachelors,45800,72600,89
550,3D Animation,Bachelors,49400,72500,44
551,Ethnic Studies,Bachelors,44900,72300,62
552,Adult Education & Training,Bachelors,46200,72200,79
552,Health Administration,Bachelors,40700,72200,69
554,Agricultural Communication,Bachelors,42600,72100,51
554,Organizational Management,Bachelors,46900,72100,57
556,Multimedia,Bachelors,42800,72000,42
557,Communication Design,Bachelors,48700,71900,34
558,Radiologic Science,Bachelors,54900,71800,81
559,Exercise Physiology,Bachelors,41600,71700,78
560,Criminal Justice Administration,Bachelors,43700,71600,55
561,Natural Resource Management,Bachelors,43800,71500,60
562,Diagnostic Medical Imaging,Bachelors,57900,71400,74
562,Earth Science,Bachelors,48200,71400,50
562,Hotel & Restaurant Management,Bachelors,44600,71400,48
