fig_num,name,num_parts
fig-000115,TC-4,3
fig-000116,"Arctic Crew, Black, White Cap",4
fig-000117,Sumo Wrestler (CMF),4
fig-000118,Ms. Santos - Possessed Form,4
fig-000119,Spaceman (23318 Visor),5
fig-000120,"Santa, Plain Yellow, Black Hips",5
fig-000121,"White Torso, Red Legs, Black Hair",4
fig-000122,Legolas Greenleaf,4
fig-000123,Snap Lockitt,4
fig-000124,"Chewbacca, Reddish Brown",3
fig-000125,Worriz in Fire Chi Outfit,4
fig-000126,"Racer, Yellow and White Outfit with Tiger, Black Diving Helmet with Visor",5
fig-000127,"Construction Worker, Blue Overalls, Red Hard Hat",4
fig-000128,"Man, White Vest with Truck, Blue Legs, Red Cap (3626a Head)",4
fig-000129,Director,4
fig-000130,"White Torso, Black Legs, Dark Brown Hair, Glasses",4
fig-000131,Marge Simpson (CMF),4
fig-000132,Monster with Black Helmet,4
fig-000133,"Man, Plain Blue, White Helmet with Visor",5
fig-000134,"Construction Worker, Red Torso, Blue Legs, Red Hard Hat, Yellow Vest",5
fig-000135,"Racer, Blue Jumpsuit with Octan Logo, White Helmet with Visor, Yellow Life Vest",6
fig-000136,"Rocky, Reddish Brown Apron - Possessed Form",4
fig-000137,Soldier (Imperial Soldier) - Bicorne Hat,5
fig-000138,"Axel, Trans-Neon Green Visor",5
fig-000139,"Worker - Blue Torso, Orange Overall, Black Cap",4
fig-000140,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Red Hard Hat, Stubble",4
fig-000141,"Volcano Explorer, Man, Olive Green Jumpsuit with Straps, White Hard Hat with Visor, Breathing Apparatus, Airtanks, Goatee Beard",7
fig-000142,"AT-AT Driver, Sand Blue Uniform",4
fig-000143,Gorzan with Flat Silver Shoulder Armor,6
fig-000144,"Luke Skywalker, White Robe, White Legs, Cheek Lines",4
fig-000145,Bard the Bowman,4
fig-000146,"Racer, White Shirt with Two Stripes and 'S', White Legs, Blue Helmet with Visor",5
fig-000147,Jor-El,5
fig-000148,"Race Driver, Orange Torso, Orange Legs, Red  Helmet",5
fig-000149,Jay ZX with Shoulder Armour,5
fig-000150,"Basketball Player, Light Gray torso, Black Legs",3
fig-000151,Worriz with Pearl Gold Shoulder Armor,6
fig-000152,Sandy Moondust,5
fig-000153,"Racer, White Jacket with Zipper, Red Helmet with Visor",5
fig-000154,"Basketball Player, Tan Torso, Black Legs",3
fig-000155,"Man, Green Jacket, Blue Legs, Red Helmet with Visor, Yellow Life Vest, Blue Sunglasses",6
fig-000156,"Ninja, Red",4
fig-000157,Biff Starling,5
fig-000158,"Medium Blue Torso, Blue Overall, Blue Cap",4
fig-000159,"Race Driver, Red Torso, Red Legs, Red Helmet - Nitro Flash",5
fig-000160,"Man, Blue Torso, Red Legs, Red Cap (3626a Head)",4
fig-000161,Blooper,14
fig-000162,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Red Hard Hat, Goatee Beard",4
fig-000163,"Shadow Stormtrooper, Black, Plain Legs",4
fig-000164,"Policeman, Black Jacket with Zipper, Radio, Badge, and 'POLICE' on Back, White Helmet with Visor, Open Mouth",5
fig-000165,"Red Torso, Blue Legs, Blue Cap",4
fig-000166,"Imperial Officer / Captain / Commandant / Commander, Battle Armor, Black Hips",4
fig-000167,"Blue Torso, White Legs, Blue Arctic Hood",4
fig-000168,"Soccer Player White Torso with Blue/Red Stripes, Blue Legs, Black Hair",4
fig-000169,"Policeman, Dark Blue Jacket with Zipper, Badge, and 'POLICE' on Back, White Helmet with Visor",5
fig-000170,"Man - White Torso, Black Legs, Red Hat, Black Legs",4
fig-000171,Rocker Girl,4
fig-000172,"White Torso, Green Overall, Green Cap",4
fig-000173,Chess Piece - Crown - Pawn,4
fig-000174,"Racer, Red Jacket with Zipper, Red Helmet with Visor (3626a Head)",5
fig-000175,"Man, Blue Overalls over Shirt, Blue Legs, Red Cap, Goatee Beard",4
fig-000176,Soccer Player,4
fig-000177,Hockey Player,8
fig-000178,Zombie Driver,4
fig-000179,"Mia - Medium Blue Top, Lime Shorts",4
fig-000180,Dastan,4
fig-000181,"Man, White Torso with Red and Blue Stripes, White Legs, Red Helmet",4
fig-000182,"Man, Black Vest and Tie, Dark Bluish Gray Legs, Black Hair",4
fig-000183,"Man, White Vest with Truck, Blue Legs, Blue Cap (3626a Head)",4
fig-000184,"King Leo (Knights Kingdom I) - Lion Shield, Helmet",5
fig-000185,"Policeman, Black Jacket with Pocket and Badge, White Hat, Smile",4
fig-000186,Sherry Scratchen-Post (CMF),4
fig-000187,Boo,14
fig-000188,"Olivia - Magenta Top, Dark Blue Shorts",4
fig-000189,"Flexible Gymnast, Team GB (CMF)",5
fig-000190,"Rebel Trooper in Hoth Uniform, Tan Hat, Moustache",6
fig-000191,Troll Warrior 3 (Orc),4
fig-000192,"Emma - Lavender Top, Bright Light Blue Skirt",4
fig-000193,Slithraa,3
fig-000194,Spaceman (2447 Visor),5
fig-000195,Harry Cane,5
fig-000196,"TIE Pilot, Plain Legs, Plain Black Head (30408 Helmet)",4
fig-000197,Artist (CMF),4
fig-000198,"Policeman, Black Jacket with Zipper, Radio, and Badge, White Helmet and Visor, Sunglasses",5
fig-000199,"Emma - Medium Blue Crop Top, Dark Pink Shorts",4
fig-000200,"Woman, Tied Pink Tank Top with Flowers, White Legs, Black Hair",4
fig-000201,Lifeguard (CMF),4
fig-000202,"Olivia - White Top, Sand Blue Skirt",4
fig-000203,"Woman, White Shirt with Pockets, White Legs, Red Hair, Yellow Life Vest",5
fig-000204,Werewolf,4
fig-000205,"Man, White Jacket with Zipper, Red Legs, Red Helmet with Visor",5
fig-000206,"LEGOLAND Blue Torso, Blue Legs, Blue Cowboy Hat",4
fig-000207,"Man, White Top with Large Red Stripe and 2 Blue Stripes, Blue Legs, Brown Hair",4
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",4
fig-000209,"Man, Plain Red, White Cap",4
fig-000210,Razcal with Shoulder Armor,10
fig-000211,"Waiter, Man, Black Suit and Bow Tie, Chef Hat",4
fig-000212,"White Torso, Blue Overall, Red Cap",4
fig-000213,Lord Garmadon (The Golden Weapons),5
fig-000214,Grumlo with Flat Silver Shoulder Armor,6
fig-000215,"Chef, Red Neckerchief, Blue Legs, Red Cap",4
fig-000216,"Knight (Royal Knights) - Blue Legs, Dark Gray Neck-Protector",4
fig-000217,"Archer (Scale Mail on Red) - Black Arms, Light Gray Legs",5
fig-000218,Man with Blue Torso and Black Pants,4
fig-000219,"Emma - Lavender Top, Dark Blue Skirt",4
fig-000220,"Racer, White Shirt with Two Stripes and 'S', White Legs, Red Helmet",4
fig-000221,"Man, Blue Overalls, Red Cap (3626a Head)",4
fig-000222,"Tina - White/Silver Top, Dark Purple Skirt",4
fig-000223,Martian Manhunter (J'onn J'onzz),4
fig-000224,"Chef, Red Neckerchief, White Legs, Moustache",4
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat",4
fig-000226,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, White Helmet, Breathing Apparatus, Airtanks, Silver Sunglasses",7
fig-000227,Superman,5
fig-000228,"Man, Red Jacket with Classic Space Logo, Dark Orange Hair",4
fig-000229,"Res-Q Man, Black Cap, Moustache",4
fig-000230,"White Torso, Blue Legs, Red Cap - Anaheim",4
fig-000231,"Man, White Shirt with Shell Logo, Red Cap",4
fig-000232,Eris in Silver Outfit with Pearl Gold Shoulder Armor,10
fig-000233,"Knight (Dragon Knights) - Light Gray Legs, Black Hips",4
fig-000234,"Man, Red Top with Dark Blue Arms, Black Legs, Red Cap, Sunglasses",4
fig-000235,Zev Senesca with Plain Helmet,4
fig-000236,"LEGOLAND Police - Black, White Hat, White Belt",5
fig-000237,"LEGOLAND Blue, White Hat",4
fig-000238,"Boba Fett, Helmet and Jetpack, Light Gray Armor, Plain Legs",4
fig-000239,"LEGOLAND Blue Torso, Black Legs, Red Hat",4
fig-000240,"LEGOLAND Red Torso, Blue Legs, Black Hat",4
fig-000241,Daredevil,5
fig-000242,"Racer, Blue Jacket with Zipper, White Helmet with Visor",5
fig-000243,"Policeman, Black Jacket with Zipper, Radio, Badge, and 'POLICE' on Back, White Hat",4
fig-000244,Batzarro,5
fig-000245,Larry the Barista (CMF),4
fig-000246,"Racer, Blue and White Outfit with Shark, Blue Hat with Goggles",5
fig-000247,"Stephanie - White Jersey, Dark Blue Trousers",4
fig-000248,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Orange Legs, Red Hard Hat, Moustache and Stubble",4
fig-000249,Shrunken,4
fig-000250,Captain Jack Sparrow with Tricorne Hat,4
fig-000251,"Knight (Scale Mail on Red) - Black Arms, Blue Legs, Black Chin-Guard",4
fig-000252,"Chef - White Torso, Light Gray Legs",4
fig-000253,"Conductor - Dark Blue Jacket, Dark Blue Legs, Dark Red Hat, Glasses",4
fig-000254,"Construction Worker in Orange Jacket with Zipper and Reflective Stripes, Red Helmet, Smirk and Stubble Beard",4
fig-000255,Space Miner,6
fig-000256,Spitta,3
fig-000257,"Man, White Torso, Blue Legs, Red Cap",4
fig-000258,"Fireman, Black Fire Jacket with Red Belt and Badge, White Helmet",4
fig-000259,"T-16 Skyhopper Pilot, Red Outfit, Yellow Skin",4
fig-000260,Aquaraider 2,5
fig-000261,Emmet with Neck Bracket,5
fig-000262,Emmet in Pajamas,4
fig-000263,"Classic Spaceman, White with Airtanks (3842b Helmet)",5
fig-000264,Radio DJ Robot,4
fig-000265,"Man, Blue Jacket with Octan Logo, White Legs, Blue Cap",4
fig-000266,"Fireman, Black Fire Jacket with Radio and Badge, White Helmet, Airtanks, Breathing Apparatus",7
fig-000267,"Emmet, Western Outfit",6
fig-000268,"Andrea - White Top, Bright Light Orange Skirt. Magenta Bow",5
fig-000269,Soccer Player Coca-Cola Midfielder 1,4
fig-000270,Darth Maul in Santa Outfit,5
fig-000271,"Doctor, White Torso with Stethoscope and Pocket, White Legs, Black Hair, Glasses",4
fig-000272,"Finn, Stormtrooper Armor",4
fig-000273,Soccer Player Coca-Cola Goalie,4
fig-000274,"Timmy - Blue Legs, Red Cap",4
fig-000275,"Olivia - Magenta Top, Bright Light Blue Skirt",4
fig-000276,"Harry Potter, Black Tuxedo",4
fig-000277,Pepper Roni,4
fig-000278,BR Anniversary Minifigure,4
fig-000279,The Collector,5
fig-000280,"Pirate - Shirt with Knife, Blue Legs, Black Bicorne",4
fig-000281,"Rebel Trooper / Rebel Fleet Trooper, White Pupils, Smile",5
fig-000282,Jay NRG,4
fig-000283,"Racer, Yellow and White Outfit with Tiger, Black Helmet with Visor, Yellow Life Vest",6
fig-000284,"Fireman, Orange Safety Vest with Radio, White Helmet with Visor, Stubble",5
fig-000285,"Man, Blue Shirt, Blue Legs, Red Hard Hat",4
fig-000286,Lieutenant Maverick,5
fig-000287,"Snowboarder, Black Jacket, Black Hat, Neck Bracket",5
fig-000288,"Man, Plain Red, Helmet with Visor, Yellow Life Vest",6
fig-000289,"Man, Plain Red Torso, Black Legs, Blue Hat",4
fig-000290,Robber with Tattered Green Vest,4
fig-000291,Tonto,5
fig-000292,"Ninja, Black",4
fig-000293,"Racer, White Shirt with Shell Logo, Red Legs, Red Helmet with Visor",5
fig-000294,"Soccer Player Goalie Blue Torso with Silver print, Black Legs, Blue Cap",4
fig-000295,"Man - White Torso, Black Legs, Black Spiky Hair",4
fig-000296,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, Dark Bluish Gray Hands, White Helmet, Cheek Lines",4
fig-000297,"Pirate - Red/Black Stripes, Blue Legs, Blue Bandana",4
fig-000298,"Luke Skywalker, Medal, White Pupils",4
fig-000299,"Luke Skywalker, Medal, Black Eyes",4
fig-000300,"Knight (Breastplate on Red) - Blue Legs, Dark Gray Neck-Protector, Plastic Cape",5
fig-000301,Grip - Light Gray Legs,4
fig-000302,"Andrea - Bright Light Orange Top, Light Aqua Skirt, Magenta Party Hat",5
fig-000303,"Clone Trooper, Phase I Armor, Brown Eyes",4
fig-000304,"Man, White Vest with Truck, Red Legs, Red Cap",4
fig-000305,Shadow ARF Trooper,4
fig-000306,Assistant - Female,4
fig-000307,"Knight (Knights Kingdom I) - Bull Robber, Black Chin-Guard",4
fig-000308,"Man, Brown Jacket, Blue Legs, White Cap, Blue Sunglasses",4
fig-000309,Actor 1,4
fig-000310,"Man - White Torso, Black Legs Brown Hair",4
fig-000311,Leonidas,4
fig-000312,"Stormtrooper, Chrome Silver Armor",4
fig-000313,"Worker, Blue Shirt with Orange Stripes and Pockets, Lime Cap",4
fig-000314,"Man, Black Torso, White Legs, Blue Cap, Backpack, Sunglasses",5
fig-000315,"Soccer Player, Dutch Team",4
fig-000316,"Boba Fett, White Armor, Plain Black Head",4
fig-000317,"Lillie - Christmas Sweater, REd Skirt",4
fig-000318,Quicky the Nesquik Bunny,4
fig-000319,"Man - Blue Torso, White Legs, Black Hair",4
fig-000320,Soccer Player Coca-Cola Defender 4,4
fig-000321,"Soccer Referee / Linesmen, Green Torso, Black Legs",4
fig-000322,Cole NRG,4
fig-000323,"Captain Jack Sparrow, Voodoo",4
fig-000324,"Chase McCain, Dark Bluish Gray Vest with Radio, Badge and Pouches over Medium Blue Shirt, Black Legs",4
fig-000325,Baron Von Barron (Pilot),6
fig-000326,"Soccer Player White Torso, Blue Legs, Brown Hair, Standard Face",4
fig-000327,Lord Sam Sinister with Dark Gray Pants,4
fig-000328,Brickster with Dark Gray Hat,4
fig-000329,"Shogun, Armor and Helmet with Horn",6
fig-000330,"Lobot, Yellow Skin",3
fig-000331,Bumblebee,5
fig-000332,"Boba Fett, Child, Dark Azure Outfit",4
fig-000333,Archer (Knights Kingdom I) - Plate on Legs,5
fig-000334,"Ed, Black Fire Suit with Gauge and Straps, White Helmet, Breathing Apparatus, Airtanks, Goatee Beard",7
fig-000335,"Man, Brown Jacket, Blue Legs, Blue Cap, Blue Sunglasses",4
fig-000336,Crug,4
fig-000337,Dr. Peter Venkman (Dimensions),5
fig-000338,"Jango Fett, Santa Outfit",5
fig-000339,Bat Lord (Fright Knights) - no Cape,4
fig-000340,Arctic Scout,5
fig-000341,"Classic Spaceman, Yellow with Airtanks (3842b Helmet)",5
fig-000342,"Fireman, Plain Black, Black Helmet",4
fig-000343,"Man, White and Blue Hoodie, Green Legs, Dark Brown Hair",4
fig-000344,"Man, Blue Shirt with Buttons and Pockets, Blue Legs, Brown Hair",4
fig-000345,"Man, Blue Jacket with Highway Logo, Blue Legs, Red Cap",4
fig-000346,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, Red Legs, Silver Helmet",4
fig-000347,Laval,6
fig-000348,"Man, White and Blue Striped Shirt, Blue Legs, Blue Cap",4
fig-000349,"Knight (Royal Knights) - Black Legs, Dark Gray Neck-Protector",4
fig-000350,"Anna - Black Vest, Yellowish Green Dress, Dark Turquoise Cape",5
fig-000351,"Man, Blue Jacket with Zipper, Black Legs, White Helmet with Visor",5
fig-000352,"Man, White Torso with Shell Logo, Blue Legs, Red Hat",4
fig-000353,"Racer, Blue Jacket with Octan Logo, Blue Legs, White Helmet with Visor",5
fig-000354,"Man, Plain Red, Black Helmet with Visor",5
fig-000355,Sykor,4
fig-000356,Aquashark Hybrid,6
fig-000357,Docs,5
fig-000358,"Racer, Red Jacket with Octan Logo and 'RACING', Red Legs, White Helmet with Black Visor, Sunglasses",5
fig-000359,Johnny Thunder (Desert),4
fig-000360,"Racer, Red Jacket with Octan Logo and 'RACING', Red Legs, White Helmet with Trans-Light Blue Visor, Sunglasses",5
fig-000361,"Astronaut, White, Blue Cap, Headset",4
fig-000362,"Ninja, Dark Gray",4
fig-000363,"Racer, White Jacket with 2 Stars, Black Helmet with Visor, Sunglasses",6
fig-000364,"Santa, Plain Red with White Hips",5
fig-000365,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Blue Legs, Red Hard Hat, Moustache and Stubble",4
fig-000366,Gladiator,4
fig-000367,"Racer, White Shirt with Shell Logo, Black Legs, Red Helmet with Visor",5
fig-000368,Ghost Ninja Attila / Ming / Spyder,4
fig-000369,Mr. Cunningham,4
fig-000370,"Racer, Woman, Green and White Outfit with Crocodile, Green Helmet with Visor",5
fig-000371,"Racer, Red and White Outfit with Scorpion, Red Helmet with Visor",5
fig-000372,"Bandit, Black Hard Hat",4
fig-000373,"Classic Spaceman, Blue with Airtanks (3842a Helmet)",5
fig-000374,"Santa, Plain Red with Black Hips",5
fig-000375,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Blue Legs, Red Hard Hat, Glasses",4
fig-000376,"Cameraman - Blue Legs, Blue Cap",4
fig-000377,Stunt Driver,5
fig-000378,Battle Goddess,5
fig-000379,"LEGOLAND Blue Torso, Red Legs, Black Hat",4
fig-000380,Bowser,146
fig-000381,"Soccer Player White Torso, Blue Legs #11",4
fig-000382,"Pirate - Blue Jacket, Light Gray Legs, Black Tricorne",4
fig-000383,"Pirate - Red Stripes, Blue Legs, Red Bandana, 3626a",4
fig-000384,"Man, White Torso with Shell Logo, Red Legs, Red Hat",4
fig-000385,"Man, Plain Red, Red Hat",4
fig-000386,"Racer, White Jacket with Zipper, White Helmet with Visor (3626b Head)",5
fig-000387,"Man, Red Jacket with Zipper, Red Legs, Black Helmet",4
fig-000388,"Knight (Scale Mail on Red) - Red Arms, Black Legs, Dark Gray Neck-Protector",4
fig-000389,"Racer, Black Jacket with Zipper, Black Helmet with Visor (3626a Head)",5
fig-000390,"Knight (Scale Mail on Blue) - Black Arms, Blue Legs, Dark Gray Neck-Protector",4
fig-000391,"Racer, White Jacket with Zipper, White Helmet with Visor (3626a Head)",5
fig-000392,"Olivia - Dark Pink Top, Dark Blue Skirt",4
fig-000393,"White Torso with Flowers, Orange Leg, Black Ponytail",4
fig-000394,"Man, Blue Shirt with Buttons and Pockets, Blue Legs, Blue Cap (3626b Head)",4
fig-000395,"Woman, Tied Pink Tank Top with Flowers, White Legs, Black Hair, Yellow Life Vest",5
fig-000396,"Racer, Blue Jacket with Octan Logo, Blue Legs, White Helmet with Visor",5
fig-000397,"Santa, Plain Red with Light Gray Legs, and Back Basket",6
fig-000398,"Man, White Tank Top with Windsurfer, Yellow Legs, Brown Hair, Yellow Life Vest, Moustache",5
fig-000399,"Man, Green Jacket, White Legs, Blue Cap, Yellow Life Vest, Blue Sunglasses",5
fig-000400,Soldier (Imperial Guard) - Yellow Epaulettes,5
fig-000401,"Blue Torso, White Legs, REd Cap",4
fig-000402,"Man, Dark Blue Plaid Shirt, Dark Blue Legs, Red Cap, Silver Sunglasses",4
fig-000403,"Man - Green Torso, Red Legs, Red Cap",4
fig-000404,"Pirate - Blue Stripes, Black Legs, Black Tricorne",4
fig-000405,"Racer, Blue Jacket with Zipper, Blue Helmet with Visor",5
fig-000406,Blacktron I (3626a Head),6
fig-000407,"Knight (Scale Mail on Red) - Black Arms, Black Legs, Black Neck-Protector",4
fig-000408,"Man - Blue Torso, Black Legs, red hat",4
fig-000409,"Man, Green Jacket, Green Legs, Black Hair, Yellow Life Vest, Sunglasses",5
fig-000410,"Racer, White Top with Large Octan Logo, Red Legs, Red Helmet with Visor",5
fig-000411,Indiana Jones,4
fig-000412,"Man, Plain Black, Black Helmet with Visor, Sunglasses",5
fig-000413,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, White Helmet, Breathing Apparatus, Airtanks, Stubble",7
fig-000414,Ned Flanders (CMF),3
fig-000415,Ogel Minion,5
fig-000416,Highland Battler,4
fig-000417,Zane (The Golden Weapons),4
fig-000418,Kai (The Golden Weapons),4
fig-000419,"Arctic Crew, Green, Hood",4
fig-000420,"Man, Green Jacket, Dark Bluish Gray Legs, Hood, Silver Sunglasses",4
fig-000421,"Infomaniac, LEGO Logo on Back",4
fig-000422,Cole DX,4
fig-000423,"White Torso, Palm Tree, Black Legs, Black Hair",4
fig-000424,"White Torso, Freestyle, Green Legs, Red Cap",4
fig-000425,"Pilot, Black Jacket with Zipper, White Helmet with Trans-Light Blue Visor",5
fig-000426,Master Wu (The Golden Weapons),5
fig-000427,"Blue Torso, Tan Legs, Black Hair",4
fig-000428,"Racer, White Jacket with 2 Stars, Red Helmet with Visor, Sunglasses",5
fig-000429,Biker Bob,5
fig-000430,"Knight (Fright Knights) - Red Legs, Black Hips",4
fig-000431,"Diver, Woman, Blue Wetsuit, Black Helmet with Mask, Airtank, Flippers",8
fig-000432,"Racer, Extreme Team, Black Jacket, Green Legs, Blue Cap, Yellow Life Vest",5
fig-000433,"Man, Plain White, Red Helmet with Visor",5
fig-000434,"Worker, Blue Jacket with Orange Stripes, Blue Legs, Blue Cap, Silver Sunglasses",4
fig-000435,"Man, Green Overalls over Red Shirt, Blue Cap",4
fig-000436,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Blue Legs, Red Hard Hat",4
fig-000437,"Boy, White and Blue Hoodie, Short Blue Legs, Red Cap",4
fig-000438,"Indian - Tan Clothing, Blue Trim, Quiver",6
fig-000439,"Classic Spaceman, White with Airtanks (2446 Helmet) (3626b Head)",5
fig-000440,Pete Peterson - Possessed Form,7
fig-000441,"Knight (Crusader Lion) - Blue Legs and Hips, Chin-Guard",4
fig-000442,"Man, Blue Jacket with Zipper, Blue Legs, White Cap, Sunglasses",4
fig-000443,"Construction Worker, Blue Overalls over Medium Blue Shirt, Red Hard Hat, Goatee Beard",4
fig-000444,"Policeman, Black Jacket with Zipper, Radio, and Badge, White Cap, Yellow Life Vest, Silver Sunglasses",5
fig-000445,"Policeman, Black Jacket with Zipper, Radio, and Badge, White Cap",4
